Eesnimi;Perenimi;Sugu;Sünniaeg;Isikukood;Maakond;Tänav;Asula;Asulatüüp;Mobiiltelefon;Telefon;Surmaaeg;Vanus
Nadezhda;Arro;N;18.08.1932;43208183865;Läänemaa;Sumba;Liivaküla;küla;54568601;4716582;;
Madli;Kask;N;18.08.2008;60808181443;Viljandimaa;Puhkekodu;Alustre;küla;52956898;4365533;;
Polina;Saks;N;18.08.1903;40308182571;Läänemaa;August Kitzbergi;Vilkla;küla;58186751;4739497;;
Marita;Kirss;N;18.08.1994;49408180872;Viljandimaa;Männi;Vaibla;küla;52744900;4311461;;
Olavi;Zujev;M;18.08.1930;33008181468;Ida-Virumaa;Maarjaturg;Amula;küla;55922157;3316657;;
Eric;Sibul;M;18.08.1904;30408187324;Tartumaa;Selise;Sipelga;küla;51191981;7311429;;
Karl Johannes;Mann;M;18.08.1901;30108187620;Pärnumaa;Pilve;Õepa;küla;50253808;4487051;;
Cassandra;Safronov;N;18.08.1962;46208181416;Lääne-Virumaa;Liivaranna tee;Kakuvälja;küla;51535552;3215779;;
Brenda;Kruglov;N;18.08.1975;47508186347;Järvamaa;Sinirebase;Vahuküla;küla;53581589;3846939;;
Ivan;Paal;M;18.08.1945;34508188319;Raplamaa;Varbola;Kasti;küla;53634435;4879722;;
Mirko;Must;M;18.08.2008;50808184874;Raplamaa;Pikaliiva;Nõmmeotsa;küla;59643073;4862597;;
Steven;Rüütel;M;18.08.2008;50808189727;Raplamaa;Osja tee;Kuusiku-Nõmme;küla;56374093;4861186;;
Oleg;Truu;M;18.08.1983;38308183412;Raplamaa;Tõusu tee;Lelle;alevik;54923608;4883640;;
Reio;Solovjov;M;18.08.1910;31008187355;Jõgevamaa;Voorimehe;Mõhküla;küla;58974693;7790773;;
Carmel;Lang;N;18.08.1987;48708187978;Võrumaa;Vihu;Navi;küla;58451963;7802084;;
Geir;Kapp;M;18.08.1918;31808185417;Põlvamaa;Mardi;Pahtpää;küla;55533111;7949881;;
Yana;Filippov;N;18.08.1965;46508186469;Raplamaa;Paplite puiestee;Kasti;küla;57311827;4803083;;
Astrid;Luts;N;18.08.2001;60108181439;Viljandimaa;4. Jôe;Mudiste;küla;54693917;4377965;;
Erki;Tomingas;M;16.12.1927;32712161022;Võrumaa;Vepsküla;Mokra;küla;56012666;7852258;18.08.2015;87
Christina;Kotkas;N;18.08.1965;46508184036;Saaremaa;Nooruse;Kailuka;küla;56238880;4517244;;
Markus;Arro;M;18.08.1990;39008181922;Jõgevamaa;Hobuse;Varbevere;küla;56525703;7767138;;
Kiur;Liiva;M;18.08.2006;50608180679;Harjumaa;Hirve;Vahetüki;küla;53395138;6170246;;
Agne;Kuningas;N;18.08.2012;61208189250;Tartumaa;Viige;Altmäe;küla;50943390;7781669;;
Dan;Järv;M;18.08.1980;38008188918;Jõgevamaa;Oksa;Perametsa;küla;59917515;7795750;;
Karl-Kristjan;Bondarenko;M;06.11.2007;50711066885;Harjumaa;Kalmistu;Pikva;küla;56684365;6121704;18.08.2016;8
Tõnu;Egorov;M;18.08.2003;50308183794;Pärnumaa;Põhjakaare;Rätsepa;küla;50434617;4449183;;
Kaidar;Popov;M;18.08.1961;36108180214;Jõgevamaa;Külmallika põik;Torma;alevik;54852432;7746220;;
Magnus;Kesküla;M;18.08.1903;30308188758;Võrumaa;Lõkketule;Juusa;küla;59186476;7807268;;
Karoliine;Abbt;N;18.08.1968;46808180398;Pärnumaa;Lutsu;Lepplaane;küla;59209479;4469297;;
Valerija;Mürk;N;18.08.1976;47608186087;Lääne-Virumaa;Padu;Koeravere;küla;50035602;3261279;;
Enri;Baranov;M;18.08.2015;51508185889;Harjumaa;Suur-Toome;Vansi;küla;52535216;6132257;;
Oliver;Kivilo;M;18.08.1996;39608184240;Saaremaa;Kummeli;Haapsu;küla;51829021;4528640;04.11.2016;20
Anatoli;Rebane;M;18.08.1947;34708184993;Tartumaa;Landi;Ronisoo;küla;54437699;7537298;;
Ernst;Lehiste;M;18.08.2006;50608182113;Saaremaa;Havi;Suur-Rahula;küla;50443725;4531200;;
Ivan;Kuusik;M;18.08.1989;38908186212;Viljandimaa;Sinitiiva;Vana-Kariste;küla;53501118;4326128;;
Sten-Erik;Teearu;M;18.08.1963;36308187107;Raplamaa;Metsavahi põik;Mahlamäe;küla;59667094;4841958;;
Villu;Koppel;M;18.08.1987;38708188885;Saaremaa;Liivaluite;Vana-Lahetaguse;küla;59902134;4525399;;
Kristlin;Mikk;N;18.08.1928;42808181879;Lääne-Virumaa;Merikanni;Nurkse;küla;55804541;3249908;;
Anne;Kaur;N;18.08.1909;40908180912;Harjumaa;Uku  puiestee;Ilmastalu;küla;57186556;6367827;;
Reet;Lumi;N;18.08.1981;48108183075;Ida-Virumaa;Kauna;Puhkova;küla;51846171;3317430;;
Revo;Viik;M;17.12.1926;32612176293;Saaremaa;Rabaküla;Pöide;küla;;4574087;18.08.1971;44
Kalmer;Ader;M;18.08.1988;38808187721;Põlvamaa;Kurni;Puugnitsa;küla;56681417;7927448;;
Ljudmila;Jürgenson;N;18.08.1928;42808180523;Hiiumaa;Kristjan Kärberi;Hiiessaare;küla;55588327;4659656;;
Hedvig;Kivimäe;N;18.08.1943;44308182968;Viljandimaa;Lavretsovi;Tobraselja;küla;53892344;4375723;;
Helis;Jänes;N;18.08.1978;47808188463;Jõgevamaa;Mardi;Kudina;küla;54917537;7785347;;
Madli;Sild;N;28.01.2002;60201288534;Võrumaa;Loite;Nursi;küla;56033793;7824126;18.08.2017;15
Rebeca;Tuul;N;18.08.1951;45108184776;Järvamaa;Astri;Kalitsa;küla;59821634;3855360;;
Katariina;Madisson;N;18.08.1991;49108186725;Harjumaa;Voorimehe;Vilama;küla;54282447;6159862;;
Katre;Raadik;N;18.08.1999;49908188256;Võrumaa;Saturni;Kuigõ;küla;58373645;7862807;;
Indra;Bērziņš;N;18.08.1912;41208186335;Pärnumaa;Rõugu;Põhara;küla;52158843;4415454;;
Freddy;Jaanson;M;18.08.2016;51608182496;Järvamaa;Sõlme;Pibari;küla;55779450;3894971;;
Alice;Leis;N;18.08.1993;49308181604;Viljandimaa;Ahvena;Taganurga;küla;50631533;4392807;;
Laureen;Järvesaar;N;18.08.1917;41708187857;Jõgevamaa;Männimetsa põik;Assikvere;küla;53431084;7774737;;
Getriin;Mölder;N;18.08.1911;41108181549;Hiiumaa;Kiire;Luidja;küla;54507079;4679356;;
Mirell;Holm;N;18.08.1928;42808187108;Valgamaa;Hiiu-Maleva;Kibena;küla;52106107;7639741;;
Terje;Maasik;N;18.08.1953;45308186365;Viljandimaa;Vainutalu;Pulleritsu;küla;53413518;4367892;16.10.2012;59
Karl Jakob;Poom;M;18.08.1945;34508186161;Ida-Virumaa;Teisepere;Sahargu;küla;58811998;3319244;;
Tairi;Rand;N;18.08.1970;47008181745;Valgamaa;Hoo;Korijärve;küla;55786395;7625835;27.05.1992;21
Johann;Kuusik;M;02.08.1906;30608024079;Jõgevamaa;Saha põik;Loopre;küla;;7701398;18.08.1951;45
Deniss;Kala;M;18.08.1928;32808188605;Võrumaa;Vesse;Mäe-Suhka;küla;52053486;7811562;;
Kennet;Nikiforov;M;18.08.1999;39908189211;Harjumaa;Sepa;Kasispea;küla;55026702;6530094;18.10.2013;14
Kiur;Mets;M;18.08.2009;50908184603;Viljandimaa;Kuusiku tee;Karksi;küla;59579802;4378320;;
Yulia;Sibul;N;18.08.1925;42508182011;Järvamaa;Liivi;Seliküla;küla;50093937;3889627;;
Viktoria;Soots;N;18.08.1989;48908184782;Harjumaa;Vesiroosi;Anija;küla;58202801;6242695;;
Eret;Raag;N;18.08.1981;48108186259;Lääne-Virumaa;Lühike;Metsiku;küla;50487673;3260773;08.06.2006;24
Vivian;Volkov;N;18.08.1907;40708183754;Pärnumaa;Veskimetsa;Kobra;küla;;4414865;08.02.1949;41
Erko;Lehtla;M;18.08.1922;32208188060;Hiiumaa;Ferdinand Johann Wiedemanni;Rannaküla;küla;50657220;4675785;;
Anna;Karro;N;18.08.1915;41508186582;Võrumaa;Lilleherne tee;Kündja;küla;58944544;7869348;07.02.2018;102
Leon;Kaljuste;M;18.08.1922;32208180367;Harjumaa;Vilisuu;Karla;küla;59812903;6616104;16.09.2007;85
Grethel;Gromov;N;18.08.1971;47108187007;Jõgevamaa;Rähkloo;Elistvere;küla;52422020;7792968;29.12.1998;27
Mariete;Erm;N;18.08.1900;40008184484;Põlvamaa;Piima;Süvahavva;küla;57981173;7997587;;
Rivo;Niit;M;18.08.1900;30008185929;Tartumaa;4. Jôe;Haage;küla;53172339;7578117;;
Klaarika;Sibul;N;18.08.1987;48708189325;Viljandimaa;Villkäpa;Pärsti;küla;57207817;4346685;;
Nikolay;Kask;M;18.08.1996;39608182577;Põlvamaa;Ojaveere;Himma;küla;50874459;7948473;;
Õnnela;Friedman;N;18.08.1986;48608185652;Harjumaa;Kungla;Sääsküla;küla;58301500;6773161;;
Caspar;Aun;M;18.08.1952;35208181724;Pärnumaa;Lai;Rootsiküla;küla;51390975;4469920;;
Heiki;Nurk;M;28.07.1953;35307285187;Põlvamaa;Tagala;Kastmekoja;küla;;7956634;18.08.1967;14
Kalle;Järve;M;18.08.1942;34208180375;Põlvamaa;Viadukti;Tilsi;küla;55650838;7995954;;
Reti;Martinson;N;18.08.2004;60408187086;Põlvamaa;August Kitzbergi;Matsuri;küla;58268875;7994999;;
Maiken;Kangur;N;22.06.1915;41506225244;Võrumaa;Kitse pôik;Saika;küla;;7878424;18.08.1923;8
Ilja;Karro;M;18.08.1964;36408181663;Võrumaa;Kesakanni;Hürsi;küla;;7823701;09.01.1978;13
Kermo;Kikas;M;18.08.1985;38508189082;Saaremaa;Sirbi kaar;Laimjala;küla;54834676;4576441;;
Stella;Põldma;N;18.08.1900;40008181447;Võrumaa;Kesk-Luha;Tagakolga;küla;;7811470;20.05.1983;82
Rainis;Rohtla;M;18.08.1987;38708185624;Tartumaa;Veeberi tänav;Kaarlijärve;küla;52970842;7171416;16.01.1995;7
Liina;Aavik;N;18.08.1962;46208181198;Läänemaa;Harkumetsa tee;Pälli;küla;59492877;4798999;21.05.2006;43
Liis;Leht;N;18.08.1998;49808186461;Lääne-Virumaa;Hommiku;Taaravainu;küla;50685064;3221187;;
Beatrice;Lass;N;18.08.1907;40708187298;Valgamaa;Saarepuu;Aakre;küla;51558556;7646685;;
Darja;Mitt;N;18.08.1935;43508185893;Saaremaa;Tartu maantee;Jõe;küla;53526512;4501283;;
Adrian;Must;M;18.08.1954;35408184096;Hiiumaa;Paneeli;Pihla;küla;51845920;4650734;;
Karlis;Mihhailov;M;18.08.2009;50908180101;Saaremaa;Keskväljak;Mäebe;küla;52797174;4540848;;
Karoliine;Post;N;18.08.1913;41308186068;Tartumaa;Liilia tee;Nõela;küla;52397120;7101725;;
Maarit;Sillaste;N;21.11.1926;42611215221;Hiiumaa;Saarma;Mäeküla;küla;;4605690;18.08.1953;26
Karolin;Aun;N;18.08.1960;46008185189;Saaremaa;Kalaranna;Koguva;küla;54443443;4584737;;
Adelina;Sokolov;N;16.11.1950;45011165694;Raplamaa;Kadaka tee;Hiie;küla;;4811776;18.08.1991;40
Aveli;Zaitsev;N;18.08.2008;60808185018;Võrumaa;Liivamäe;Kikkaoja;küla;55903467;7833542;;
Raiko;Kondratjev;M;18.08.2014;51408187591;Raplamaa;Ketta;Luiste;küla;56961295;4854223;;
Keiu;Jürisson;N;18.08.1992;49208186430;Lääne-Virumaa;Merelahe tee;Essu;küla;58856169;3264012;;
Karl Erik;Erm;M;18.08.1924;32408184101;Võrumaa;Merirahu;Aabra;küla;57900563;7819780;;
Karli;Kärner;M;18.08.2015;51508180415;Jõgevamaa;Ujuki;Sääritsa;küla;51683938;7774120;;
Ahto;Kivimäe;M;18.08.2013;51308183930;Tartumaa;Kiviranna tee;Sangla;küla;58224013;7266883;;
Meriliis;Lepp;N;18.08.1948;44808182845;Viljandimaa;Paakspuu tee;Navesti;küla;52555209;4328705;;
Ave;Iljin;N;04.08.1930;43008041174;Võrumaa;Sipelga;Palujüri;küla;54339857;7813082;18.08.2003;73
Heino;Poljakov;M;18.08.1983;38308184856;Pärnumaa;Tammiku;Seliste;küla;59662499;4486772;;
Jessica;Pikk;N;18.08.1926;42608184749;Põlvamaa;Söödi;Nedsaja;küla;58779337;7959204;;
Jaanis;Mitt;M;18.08.1991;39108182976;Võrumaa;Lagedi tee;Kaugu;küla;56273772;7895987;;
Viktor;Mark;M;18.08.2013;51308187023;Saaremaa;Miina Härma;Pidula;küla;55477107;4543709;;
Hans Erik;Fedotov;M;18.08.1911;31108187944;Harjumaa;Kaste;Laoküla;küla;;6320324;23.06.1966;54
Sten Martin;Raud;M;18.08.1979;37908180764;Põlvamaa;Asfaldi;Linte;küla;50466902;7996911;;
Anti;Paas;M;18.08.2014;51408183379;Tartumaa;Ravila;Kuningvere;küla;51100766;7497092;;
Aron;Abderhalden;M;18.08.1923;32308188430;Ida-Virumaa;Rohumaa;Sillamäe;linn;56554898;3344981;;
Liliana;Mölder;N;18.08.1950;45008186870;Saaremaa;Merikanni;Ruhnu;küla;56313069;4591902;;
Katre;Kutsar;N;18.08.1914;41408181817;Lääne-Virumaa;Pärnulõuka;Essu;küla;58708095;3253934;;
Stanislav;Link;M;18.08.1932;33208183833;Võrumaa;Rannamõisa tee;Käbli;küla;50236205;7875225;;
Jürgen;Jaanus;M;18.08.1991;39108189679;Tartumaa;Sõle;Muri;küla;55416082;7394575;;
Steven;Toom;M;18.08.1951;35108184549;Saaremaa;Varese;Eeriksaare;küla;54666133;4566721;09.06.2011;59
Liisa Maria;Borissov;N;18.08.1944;44408183075;Viljandimaa;Kaevu põik;Umbsoo;küla;56546045;4348431;;
Hanna-Liisa;Aas;N;24.11.2007;60711244506;Viljandimaa;Purje;Uue-Kariste;küla;53068870;4345751;18.08.2016;8
Regina;Palu;N;18.08.2009;60908184180;Jõgevamaa;Mustamäe tee;Kiisli;küla;55758109;7757174;;
Lily;Pärnpuu;N;18.08.1942;44208186628;Saaremaa;Vikerkaare;Rahu;küla;50376785;4549862;;
Karoline;Post;N;18.08.2007;60708182083;Lääne-Virumaa;Arukase;Kannastiku;küla;55708589;3214974;;
Krislin;Nõmmik;N;18.08.1969;46908185163;Pärnumaa;Aarde;Paikuse;alevik;57099076;4470958;;
Gennadi;Bõstrov;M;17.10.1988;38810174729;Harjumaa;Laki;Arava;küla;50141339;6171473;18.08.2011;22
Kalle;Pruul;M;18.08.1980;38008185879;Võrumaa;Lükati tee;Võlsi;küla;51994952;7870152;;
Kristella;Sirel;N;18.08.1911;41108188841;Tartumaa;Manufaktuuri;Kesklahe;küla;56972267;7807224;;
Kristine;Melnik;N;18.08.1973;47308186968;Raplamaa;Salu tee;Lipstu;küla;54113612;4893524;;
Kaari;Kink;N;18.08.1932;43208181982;Jõgevamaa;Paljandi;Pajusi;küla;58468083;7782112;;
Karl Johan;Aasa;M;18.08.1948;34808182508;Valgamaa;Sinitiiva;Ilmjärve;küla;53955711;7692893;;
Margus;Matvejev;M;18.08.1941;34108188365;Jõgevamaa;Kerese;Soomevere;küla;53537983;7762693;;
Sebastian;Abel;M;18.08.1984;38408186134;Valgamaa;Mesila;Koobassaare;küla;55613141;7657592;;
Fjodor;Tamm;M;18.08.2009;50908184723;Läänemaa;Mailase tee;Suure-Lähtru;küla;50712486;4794001;;
Killu;Treier;N;18.08.1977;47708180567;Tartumaa;K. A. Hermanni;Laeva;küla;55860265;7514431;;
Hannes;Kuus;M;18.08.1953;35308186448;Lääne-Virumaa;Olevi põik;Tõõrakõrve;küla;53312015;3270272;;
Arina;Merila;N;18.08.1901;40108185355;Saaremaa;Villem Ormissoni;Saaremetsa;küla;55963821;4573289;;
Dana;Klein;N;18.08.2000;60008186862;Tartumaa;Haaviku põik;Paju;küla;59546054;7703262;;
Alina;Kikkas;N;18.08.1996;49608187470;Jõgevamaa;Annemõisa;Perametsa;küla;52477143;7733874;;
Keijo;Õispuu;M;18.08.1918;31808186736;Lääne-Virumaa;Juhan Kunderi põik;Ilumäe;küla;51434940;3286980;;
Märt;Aru;M;18.08.1945;34508185497;Saaremaa;Molberti tänav;Paju-Kurdla;küla;56877829;4591297;;
Heli;Tamme;N;18.08.2015;61508185555;Võrumaa;Okka;Vana-Roosa;küla;58050438;7860904;;
Darina;Sarap;N;18.08.1938;43808188114;Võrumaa;Kakumäe tee;Tüütsmäe;küla;53493358;7877384;;
Älis;Merisaar;N;18.08.2018;61808182570;Võrumaa;Angerpisti;Murati;küla;50922593;7845216;;
Marco;Rosenberg;M;18.08.1982;38208185829;Pärnumaa;Johannes Kappeli;Kanamardi;küla;51676408;4446275;;
Sergey;Pavlov;M;18.08.1938;33808186428;Hiiumaa;Pakase;Kleemu;küla;51062566;4610073;;
Greete;Palu;N;18.08.1957;45708182547;Harjumaa;Lelle;Vasalemma;alevik;51403944;6845509;;
Ako;Kodres;M;18.08.2011;51108184096;Raplamaa;Vainutalu;Vaimõisa;küla;52252245;4809090;;
Helis;Gorbunov;N;18.08.1958;45808184333;Läänemaa;Lõvi;Pürksi;küla;50646189;4712742;;
Karoliine;Kuningas;N;18.08.1980;48008187934;Põlvamaa;Liikuri;Nedsaja;küla;59985476;7984446;;
Andrei;Mikk;M;18.08.1948;34808189185;Hiiumaa;Vana-Savi;Kiivera;küla;58221744;4694981;;
Sten-Markus;Randmaa;M;18.08.1937;33708180101;Põlvamaa;Linnuse;Nohipalo;küla;55594310;7977926;;
Valdur;Orlov;M;18.08.1905;30508184638;Jõgevamaa;Maleaed;Võhmanõmme;küla;56837570;7731790;;
Liisbet;Kadak;N;18.08.1949;44908189414;Võrumaa;Tuule;Tserebi;küla;59605973;7838531;;
Randel;Visnapuu;M;18.08.1903;30308189606;Järvamaa;Ranna pst.;Merja;küla;57521076;3883135;;
Pille-Riin;Naumov;N;18.08.1950;45008180133;Läänemaa;Ado Reinvaldi;Käpla;küla;50464151;4728321;;
Nadezda;Kozlov;N;18.08.1982;48208184486;Saaremaa;Kannustiiva;Veere;küla;57244729;4576324;;
Reivo;Must;M;18.08.1997;39708180628;Saaremaa;Salu tee;Vaigu;küla;50059292;4542490;;
Lilija;Õun;N;18.08.1972;47208189808;Tartumaa;Saha;Välgi;küla;;7134297;10.05.1980;7
Kirke;Nõmmik;N;18.08.1986;48608186157;Harjumaa;Toomapere;Raudoja;küla;53401279;6245767;;
Jakob;Jegorov;M;18.08.2004;50408181622;Lääne-Virumaa;Mai;Nugeri;küla;56018424;3290739;;
Magnar;Härm;M;18.08.2018;51808182739;Järvamaa;Ümera;Mõnuvere;küla;56263540;3831592;;
Karl Kevin;Jeršov;M;18.08.1932;33208184299;Harjumaa;Muuga tee;Aavere;küla;;6476564;12.02.1936;3
Jekaterina;Ernits;N;18.08.1913;41308186198;Harjumaa;Hiiela tee;Jägala;küla;51957959;6832118;;
Mati;Vaht;M;18.08.1979;37908185076;Harjumaa;Tammiste tee;Kiiu;alevik;50562224;6115111;;
Gleb;Kurm;M;18.08.1914;31408182747;Hiiumaa;Piiri;Hiiessaare;küla;52713224;4692963;;
Kirsti;Aus;N;18.08.2011;61108181621;Valgamaa;Sarruse;Õru;alevik;56719863;7694873;;
Katri;Kass;N;18.08.2014;61408185563;Lääne-Virumaa;Nõeliku;Koonu;küla;50849641;3222932;;
Renno;Aru;M;18.08.1922;32208185359;Harjumaa;Sambla;Tutermaa;küla;59637145;6770539;;
Margit;Golubev;N;18.08.1912;41208180423;Saaremaa;Preesi;Kõljala;küla;;4500103;11.05.1928;15
Stefan;Kivi;M;18.08.1952;35208182592;Võrumaa;Piibelehe;Kärinä;küla;53653728;7877498;;
Merlyn;Saare;N;18.08.2019;61908182625;Pärnumaa;Matka tee;Laiksaare;küla;55721222;4498183;;
Alina;Sisask;N;18.08.1975;47508189026;Ida-Virumaa;Niidumõisa;Kaasikaia;küla;59486421;3343469;;
Deniss;Arrak;M;18.08.1912;31208188380;Saaremaa;Kesktee;Sutu;küla;51959860;4525549;;
Liise;Müür;N;18.08.1937;43708181063;Võrumaa;Karikakra;Kahro;küla;54080479;7893356;;
Mirelle;Randmaa;N;18.08.1926;42608186294;Võrumaa;Koidutähe;Vana-Nursi;küla;58515518;7838536;;
Eerik;Mõttus;M;08.11.1941;34111082271;Võrumaa;Raua;Indra;küla;58391411;7872716;18.08.1999;57
Renet;Valge;M;18.08.1912;31208185800;Viljandimaa;Laulupeo;Kildu;küla;55417694;4390261;;
Oskar;Mihhailov;M;18.08.1930;33008183527;Raplamaa;Vahtriku tee;Keava;alevik;57627129;4812208;;
Hannes;Green;M;19.01.1902;30201193846;Ida-Virumaa;Nugise;Mehide;küla;;3396633;18.08.1968;66
Ksenija;Nikiforov;N;18.08.1903;40308180194;Viljandimaa;Auru;Sandra;küla;52633867;4312672;;
Einar;Pettai;M;18.08.1937;33708180432;Saaremaa;Palli;Leedri;küla;51576620;4551759;;
Renno;Maack;M;16.01.1933;33301164879;Pärnumaa;Kraavikalda;Lemmetsa;küla;;4438240;18.08.1947;14
Liisbet;Ader;N;18.08.1977;47708188249;Võrumaa;Randvere tee;Mõrgi;küla;54716778;7815945;;
Emil;Hõbe;M;18.08.1931;33108186174;Viljandimaa;Roosi;Saviaugu;küla;57526445;4378694;;
Jorgen;Danilov;M;18.08.1961;36108186036;Ida-Virumaa;Kurikneeme tee;Rääsa;küla;53929727;3339120;;
Joosep;Kuusk;M;03.07.2014;51407039954;Pärnumaa;Võru;Pallika;küla;56842979;4458932;18.08.2014;0
Georg;Tuul;M;18.08.1995;39508186200;Raplamaa;Rajametsa;Märjamaa;alev;52314304;4871033;;
Joanna;Mann;N;18.08.1978;47808180548;Raplamaa;Suvituse;Kändliku;küla;50711205;4894852;;
Sigrit;Lepik;N;18.08.1966;46608184219;Põlvamaa;Saha;Kooraste;küla;57653923;7986069;;
Maria;Lukin;N;30.09.1934;43409306961;Võrumaa;Idakaare põik;Tilgu;küla;;7886335;18.08.1944;9
Artur;Vaino;M;27.06.1984;38406278655;Harjumaa;Viadukti;Ellamaa;küla;50640110;6635820;18.08.1995;11
Harri;Kasak;M;18.08.1992;39208187861;Harjumaa;Merihärja;Tade;küla;59230892;6790482;;
Ketrin;Melnik;N;18.08.2010;61008184934;Hiiumaa;Suur-Karja;Linnumäe;küla;57410150;4696027;;
Arnold;Tsvetkov;M;18.08.1991;39108185083;Harjumaa;Viire;Tammneeme;küla;56526469;6399491;;
Karoli;Raudsepp;N;18.08.1921;42108188546;Võrumaa;Kaladi;Harjuküla;küla;53559140;7867442;;
Berit;Kuusik;N;30.09.2010;61009308771;Jõgevamaa;Neeme põik;Kõola;küla;58299493;7747031;18.08.2018;7
Kris;Kilk;M;18.08.1944;34408184773;Läänemaa;Suur-Ameerika;Suure-Lähtru;küla;54197826;4719283;;
Patrik;Ojaste;M;18.08.1992;39208189771;Läänemaa;Masti;Rõuma;küla;51513629;4755384;;
Rainis;Lätt;M;18.08.1994;39408187502;Ida-Virumaa;Carl Robert Jakobsoni;Kõveriku;küla;54202036;3327243;;
Mati;Järvesaar;M;18.08.1930;33008184513;Võrumaa;Daumani;Alapõdra;küla;50577704;7884583;;
Egor;Klimov;M;18.08.1968;36808182625;Tartumaa;Pikri;Sirvaku;küla;58606255;7326351;;
Christian;Rosin;M;18.08.1944;34408182790;Valgamaa;Linnu;Koiva;küla;53671866;7651236;;
Liisbeth;Kaur;N;18.08.1915;41508183643;Raplamaa;Nooda;Alu-Metsküla;küla;52078337;4817960;;
Anastassia;Leht;N;18.08.1992;49208185791;Viljandimaa;Härjapea;Lolu;küla;56552783;4339093;;
Tambet;Teearu;M;18.08.1973;37308187765;Jõgevamaa;Suurtüki;Kaiavere;küla;54901010;7787675;;
Sabrina;Alas;N;18.08.2005;60508187862;Põlvamaa;Varsaallika;Jantra;küla;52306582;7929436;;
Laura Maria;Sokolov;N;18.08.2005;60508186716;Võrumaa;Lee;Kolepi;küla;54177552;7894668;29.06.2011;5
Ailen;Bogdanov;N;18.08.1976;47608180769;Pärnumaa;Ploomi;Tuuliku;küla;58303450;4476120;;
Mai-Liis;Kangro;N;18.08.1995;49508187722;Saaremaa;Varjulille tee;Suur-Rahula;küla;58789502;4544921;;
Ruslan;Sobolev;M;18.08.1907;30708181077;Saaremaa;Pärnade puiestee;Purtsa;küla;50672467;4505032;;
Keven;Zaitsev;M;18.08.1955;35508188296;Saaremaa;Jaagu;Pärsama;küla;59824500;4540885;;
Mare;Jaanson;N;18.08.1968;46808186681;Lääne-Virumaa;Lõuna;Võsupere;küla;55775590;3286588;;
Alisa;Kaasik;N;18.08.1910;41008186998;Harjumaa;Päikese;Lagedi;alevik;56711274;6393671;;
Rustam;Loginov;M;18.08.1944;34408183842;Saaremaa;Kruusamäe;Kõiguste;küla;51614342;4507242;;
Raili;Drozdov;N;18.08.1964;46408188285;Võrumaa;Villkäpa;Mõniste;küla;55428034;7864270;;
Mari-Liis;Suvorov;N;18.08.1955;45508182536;Lääne-Virumaa;Võruvälja;Varudi-Vanaküla;küla;54336408;3231769;;
Jarko;Konovalov;M;18.08.1989;38908186000;Jõgevamaa;Kadaka;Süvalepa;küla;50425052;7706544;;
Ragnar;Hõbe;M;18.08.2001;50108186489;Valgamaa;Videviku;Tsirgumäe;küla;57774256;7687224;;
Gunnar;Tomson;M;18.08.1920;32008183826;Harjumaa;Kruusakuru;Kelnase;küla;55243072;6610260;;
Maarja-Liisa;Uibo;N;18.08.2011;61108180286;Viljandimaa;Liiviku;Kobruvere;küla;55464316;4307606;;
Albert;Nazarov;M;18.08.1936;33608181218;Jõgevamaa;Tehnika;Sadala;alevik;51122320;7787241;03.08.2010;73
Tomas;Tarassov;M;18.08.1905;30508188869;Lääne-Virumaa;Loigu;Kutsala;küla;54138113;3208502;;
Carolin;Hõbe;N;18.08.1900;40008180613;Valgamaa;Tervishoiu;Koobassaare;küla;;7691471;03.04.1967;66
Anfissa;Jõesaar;N;18.08.2006;60608185481;Valgamaa;Suur-Toome;Kääriku;küla;50834711;7627431;;
Adriana;Trofimov;N;18.08.1961;46108180467;Viljandimaa;Küüni;Rääka;küla;59612752;4343855;;
Mathias;Pavlov;M;18.08.1956;35608183199;Raplamaa;Vinkli;Nääri;küla;52810203;4891422;;
Thomas;Jakovlev;M;18.08.1902;30208186542;Pärnumaa;Rahu tee;Murru;küla;57818865;4411319;;
Anna;Villemson;N;18.08.1987;48708185248;Ida-Virumaa;Laose;Pimestiku;küla;51882237;3309700;;
Nils;Raid;M;18.04.1939;33904186700;Saaremaa;Mulla põik;Hübja;küla;;4566521;18.08.1968;29
Andro;Kuus;M;18.08.1941;34108186215;Lääne-Virumaa;Vana-Rääma;Tepelvälja;küla;52694478;3291570;;
Gregor;Salumäe;M;18.08.1978;37808184707;Läänemaa;Tähe;Matsalu;küla;53160613;4777181;;
Paula;Õunapuu;N;18.08.1958;45808189593;Jõgevamaa;Niidumõisa;Tõrve;küla;59144311;7777902;;
Kirsti;Villemson;N;18.08.1980;48008183662;Võrumaa;Artur Kapi;Heibri;küla;50533584;7824214;;
Tatiana;Sorokin;N;27.02.1957;45702277287;Ida-Virumaa;Oa;Lipniku;küla;;3350872;18.08.1976;19
Sven;Lind;M;18.08.1912;31208181834;Järvamaa;Kärestiku;Kodasema;küla;59376101;3887310;;
Markus;Herodes;M;18.08.1914;31408189313;Raplamaa;Mäepere;Kehtna-Nurme;küla;54964164;4864814;;
Victor;Abderhalden;M;18.08.1927;32708182662;Läänemaa;Kodara;Uuemõisa;alevik;53703221;4751482;;
Marlen;Tamm;N;18.08.1946;44608181144;Harjumaa;Põhjatamme puiestee;Tõdva;küla;50675633;6109324;;
